Algorithm;Author;Feature Interaction;Rank;Score;Package;Avg. Features;Avg. Constraints;Feature Combinations;Timeout;Avg. Size;Size Score;Avg. Runtime;Runtime Score;Avg. Coverage;Coverage Sore;Avg. Memory;Memory Score;Avg. RoIC;Avg. MSOC;Avg. FIMD;Avg.  ICST;Similarity Score
Chvatal_t2;Jingle Bells;2;-1;-1;BusyBox_2007-05-20_17-12-43;439;1342;590033;86400000;36.27027027;-1;124492.4865;-1;1;-1;54414.81081;-1;0.081806111;0.745879444;0.752469722;0.838914167;-1
ICPL_t2;Jingle Bells;2;-1;-1;BusyBox_2007-05-20_17-12-43;439;1342;590033;86400000;37.10810811;-1;7585.972973;-1;1;-1;2743.162162;-1;0.083023333;0.734636389;0.742150833;0.841358333;-1
Incling_t2;Jingle Bells;2;-1;-1;BusyBox_2007-05-20_17-12-43;439;1342;590033;86400000;69.18918919;-1;2989.945946;-1;1;-1;499;-1;0.028673889;0.5712475;0.571598889;0.6360825;-1
YASA_t2_m1;Jingle Bells;2;-1;-1;BusyBox_2007-05-20_17-12-43;439;1342;590033;86400000;42.54054054;-1;3130.216216;-1;1;-1;0;-1;0.027777778;0.5660375;0.5660375;0.623574722;-1
SAVM;Jabba;2;-1;-1;BusyBox_2007-05-20_17-12-43;439;1342;590033;86400000;69.18918919;-1;2989.945946;-1;1;-1;499;-1;0.028673889;0.5712475;0.571598889;0.6360825;-1
